Name: , Address: 4a:7e:ca:b9:d7:4e, manufacturer data: 4c0010050318e40a5e
Name: , Address: 4a:7e:ca:b9:d7:4e, manufacturer data: 4c0010050318e40a5e
Name: , Address: 6c:d4:87:a3:bf:33, manufacturer data: 4c001005131821b5c6
Name: , Address: 7f:00:86:63:5a:b1, manufacturer data: 4c001005131811b08e
Name: , Address: 4a:7e:ca:b9:d7:4e, manufacturer data: 4c0010050318e40a5e
Name: , Address: 6c:d4:87:a3:bf:33, manufacturer data: 4c001005131821b5c6
Name: , Address: 7f:00:86:63:5a:b1, manufacturer data: 4c001005131811b08e
Name: , Address: 4a:7e:ca:b9:d7:4e, manufacturer data: 4c0010050318e40a5e
Name: , Address: 6c:d4:87:a3:bf:33, manufacturer data: 4c001005131821b5c6
Name: , Address: 7f:00:86:63:5a:b1, manufacturer data: 4c001005131811b08e
Name: , Address: 4a:7e:ca:b9:d7:4e, manufacturer data: 4c0010050318e40a5e
Name: , Address: 6c:d4:87:a3:bf:33, manufacturer data: 4c001005131821b5c6
Name: , Address: 7f:00:86:63:5a:b1, manufacturer data: 4c001005131811b08e
Name: , Address: 4a:7e:ca:b9:d7:4e, manufacturer data: 4c0010050318e40a5e
Name: , Address: 6c:d4:87:a3:bf:33, manufacturer data: 4c001005131821b5c6
Name: , Address: 7f:00:86:63:5a:b1, manufacturer data: 4c001005131811b08e
Name: , Address: 6c:d4:87:a3:bf:33, manufacturer data: 4c001005131821b5c6
Name: , Address: 4a:7e:ca:b9:d7:4e, manufacturer data: 4c0010050318e40a5e
Name: , Address: 7f:00:86:63:5a:b1, manufacturer data: 4c001005131811b08e
Name: , Address: 4a:7e:ca:b9:d7:4e, manufacturer data: 4c0010050318e40a5e
Name: , Address: 7f:00:86:63:5a:b1, manufacturer data: 4c001005131811b08e
Name: , Address: 6c:d4:87:a3:bf:33, manufacturer data: 4c001005131821b5c6
Name: , Address: 4a:7e:ca:b9:d7:4e, manufacturer data: 4c0010050318e40a5e
Name: , Address: 6c:d4:87:a3:bf:33, manufacturer data: 4c001005131821b5c6
Name: , Address: 73:b3:b3:fa:67:d4, serviceUUID: 0000fe9f-0000-1000-8000-00805f9b34fb
Name: , Address: 4a:7e:ca:b9:d7:4e, manufacturer data: 4c0010050318e40a5e
Name: , Address: 6c:d4:87:a3:bf:33, manufacturer data: 4c001005131821b5c6
Name: , Address: 55:05:9c:42:e6:5a, manufacturer data: 4c001005011c05fe7c
Name: , Address: 5a:8f:54:0d:ea:8c, manufacturer data: 4c0010050318aaa8d6
Name: , Address: 79:d2:18:4c:26:90, manufacturer data: 4c0010050318846bfb, txPower: 12
Name: , Address: 4a:7e:ca:b9:d7:4e, manufacturer data: 4c0010050318e40a5e
Name: , Address: 7f:00:86:63:5a:b1, manufacturer data: 4c001005131811b08e
Name: , Address: 5a:8f:54:0d:ea:8c, manufacturer data: 4c0010050318aaa8d6
Name: , Address: 6c:92:7c:0c:5b:08, serviceUUID: 0000fe9f-0000-1000-8000-00805f9b34fb
Name: , Address: 60:03:08:b4:41:af, manufacturer data: 4c00090603190a0000d1
Name: , Address: 64:17:2e:c7:56:aa, serviceUUID: 0000fe9f-0000-1000-8000-00805f9b34fb
Name: , Address: 79:d2:18:4c:26:90, manufacturer data: 4c0010050318846bfb, txPower: 12
Name: , Address: 19:45:dc:4d:d1:f6, manufacturer data: 060001092002645c5edb0ac06f8a84db309407dbddef353e5f4cb462e5
Name: , Address: 4e:50:93:c2:7d:83, manufacturer data: 4c001005031c479138, txPower: 12
Name: , Address: 5a:8f:54:0d:ea:8c, manufacturer data: 4c0010050318aaa8d6
Name: , Address: 77:e8:c8:1c:fb:33, manufacturer data: 4c00100503187f7112
Name: , Address: 60:03:08:b4:41:af, manufacturer data: 4c00090603190a0000d1
Name: , Address: 47:d5:1d:91:50:ad, manufacturer data: 4c001005131c9c1ce2
Name: , Address: 64:17:2e:c7:56:aa, serviceUUID: 0000fe9f-0000-1000-8000-00805f9b34fb
Name: , Address: e1:66:d8:27:c3:fd, serviceUUID: adabfb00-6e7d-4601-bda2-bffaa68956ba
Name: , Address: 65:85:0f:98:83:5b, manufacturer data: 4c0010050a1cde7ded, txPower: 12
Name: , Address: 4a:7e:ca:b9:d7:4e, manufacturer data: 4c0010050318e40a5e
Name: , Address: 47:d5:1d:91:50:ad, manufacturer data: 4c001005131c9c1ce2
Name: , Address: 47:d5:1d:91:50:ad, manufacturer data: 4c001005131c9c1ce2
Name: , Address: 65:85:0f:98:83:5b, manufacturer data: 4c0010050a1cde7ded, txPower: 12
Name: , Address: 6d:57:82:04:f5:bc, manufacturer data: 4c0010050198bec6b2
Name: , Address: 10:fa:93:6f:a4:1b, manufacturer data: 060001092002c25a7f806c72d777a0f2008c4678e7876f087306ef98ce
Name: , Address: 2d:0d:c8:18:c8:2e, manufacturer data: 06000109200231957bd9abe13937818bd5aedbaf62d30367bdc01d65e5
Name: , Address: c0:97:27:0e:1d:6f, manufacturer data: 75004204018060c097270e1d6fc297270e1d6e01000000000000
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 44:95:b7:54:ce:22, manufacturer data: 4c0010050718765910
Name: , Address: 40:f7:38:e1:7e:bd, manufacturer data: 4c0010051a189444f7
Name: , Address: 68:7b:09:f4:06:d1, manufacturer data: 4c0010050198cf14d4
Name: , Address: 6a:2f:a3:97:e8:df, manufacturer data: 4c0010051118030f19
Name: , Address: 55:e6:50:2f:ee:a5, manufacturer data: 4c001005011895a76a
Name: , Address: 6a:2f:a3:97:e8:df, manufacturer data: 4c001005111c030f19
Name: , Address: 77:ca:b4:57:6c:f2, serviceUUID: 0000fe9f-0000-1000-8000-00805f9b34fb
Name: , Address: 40:f7:38:e1:7e:bd, manufacturer data: 4c0010051a189444f7
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051b18e3df33
Name: , Address: 44:c1:aa:70:c8:7c, manufacturer data: 4c000c0e00fb61da4b4291da21700d296dc510050118eb159a
Name: , Address: 40:f7:38:e1:7e:bd, manufacturer data: 4c0010051b189444f7
Name: , Address: 6a:2f:a3:97:e8:df, manufacturer data: 4c0010051118030f19
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 6a:2f:a3:97:e8:df, manufacturer data: 4c0010051118030f19
Name: , Address: 40:f7:38:e1:7e:bd, manufacturer data: 4c0010051b189444f7
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 6f:5f:62:3e:6e:c6, manufacturer data: 4c000c0e00f831ca53d5060ae64c5cfc69fa
Name: , Address: 68:7b:09:f4:06:d1, manufacturer data: 4c0010050198cf14d4
Name: , Address: 65:a9:38:c5:de:8e, manufacturer data: 4c00100501185ee59e, txPower: 12
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 6a:2f:a3:97:e8:df, manufacturer data: 4c0010051118030f19
Name: , Address: 60:c1:b1:ad:3a:50, serviceUUID: 0000fe9f-0000-1000-8000-00805f9b34fb
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 68:7b:09:f4:06:d1, manufacturer data: 4c0010050198cf14d4
Name: , Address: 50:bc:c2:10:aa:f5, manufacturer data: 4c001005031cff5eab
Name: , Address: 4b:60:c9:9d:2a:fe, manufacturer data: 4c0010051b184cbb41
Name: , Address: 73:10:73:57:c5:9d, manufacturer data: 4c000c0e00a40241902c65383e91d29aa18b
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 73:10:73:57:c5:9d, manufacturer data: 4c000c0e00a502f4899e31ff9fc4af9e7b69
Name: , Address: 4b:60:c9:9d:2a:fe, manufacturer data: 4c0010051b184cbb41
Name: , Address: 68:7b:09:f4:06:d1, manufacturer data: 4c0010050198cf14d4
Name: , Address: 60:c1:b1:ad:3a:50, serviceUUID: 0000fe9f-0000-1000-8000-00805f9b34fb
Name: , Address: 73:41:a3:96:e0:15, manufacturer data: 4c0010055a182057b2, txPower: 12
Name: , Address: 7f:f8:02:9b:ac:5c, manufacturer data: 4c000c0e00c8c8c333e3dce07f619728080810065b1a3ef35984
Name: , Address: 65:c1:c9:ad:58:0c, manufacturer data: 4c001006131a7b7e93da, txPower: 12
Name: , Address: 49:85:8b:f1:81:45, manufacturer data: 4c000719010f202b888f0100043521408103c67d558e71a3daa37dc2e7
Name: LE_WF-1000XM3, Address: cc:98:8b:57:d1:ed
Name: , Address: 79:22:73:34:02:81, manufacturer data: 4c0010050b1ccf84ad
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 4b:60:c9:9d:2a:fe, manufacturer data: 4c000c0e005908d7519a735dcfd63c77c42c10051b184cbb41
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 68:7b:09:f4:06:d1, manufacturer data: 4c0010050198cf14d4
Name: , Address: 73:10:73:57:c5:9d, manufacturer data: 4c000c0e00a502f4899e31ff9fc4af9e7b69
Name: , Address: 5f:c1:4b:71:80:4b, manufacturer data: 4c000c0e0036e4d69dda3ffabd3874c4811910051b1caa3f94
Name: , Address: 5f:c1:4b:71:80:4b, manufacturer data: 4c000c0e0036e4d69dda3ffabd3874c4811910051b1caa3f94
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 73:10:73:57:c5:9d, manufacturer data: 4c000c0e00a502f4899e31ff9fc4af9e7b69
Name: , Address: 4b:60:c9:9d:2a:fe, manufacturer data: 4c000c0e005a08369cf8cd3aaff0eea01b6f10051b184cbb41
Name: , Address: 68:7b:09:f4:06:d1, manufacturer data: 4c0010050198cf14d4
Name: , Address: 55:30:10:86:1c:67, manufacturer data: 4c0010051a18bf6a4b
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 4b:60:c9:9d:2a:fe, manufacturer data: 4c000c0e005d08e5f57216a4ef447a2f626a10051b184cbb41
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 4d:a5:50:c4:07:dd, manufacturer data: 4c001005771c797de4, txPower: 7
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 2f:ed:e7:ac:82:79, manufacturer data: 060001092002e29d03d6c3e605041b5ef91d228d2689bcfe6e81ba0dd1
Name: , Address: 42:a0:87:3c:35:b2, manufacturer data: 4c001005031c941a43, txPower: 12
Name: , Address: 79:36:7e:a3:db:58, manufacturer data: 4c000100000000400000000000000000000000
Name: , Address: 4d:a5:50:c4:07:dd, manufacturer data: 4c000c0e00c806b6e3c0082dcc41aa5e8d1110057b1c797de4
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 4b:60:c9:9d:2a:fe, manufacturer data: 4c000c0e005f0890596a55423f852ea0864710051b184cbb41
Name: , Address: 49:b6:a0:70:74:dc, manufacturer data: 4c00071901062000f30f051d0098402e9a0c80ed3f06da59fd1c1f3515
Name: , Address: 68:7b:09:f4:06:d1, manufacturer data: 4c0010050198cf14d4
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 4b:60:c9:9d:2a:fe, manufacturer data: 4c0010051b184cbb41
Name: , Address: 4b:f0:6f:ed:55:a7, manufacturer data: 4c0010050e1c9d1beb
Name: , Address: 79:36:7e:a3:db:58, manufacturer data: 4c000100000000400000000000000000000000
Name: , Address: 51:6d:f0:ec:42:90, manufacturer data: 4c00100501182e6dfa
Name: , Address: 65:9c:0a:9e:2b:bd, manufacturer data: 4c0010050b1c68f6e2
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 4b:f0:6f:ed:55:a7, manufacturer data: 4c0010050e1c9d1beb
Name: , Address: 5b:ce:ed:6c:b0:ec, manufacturer data: 4c000c0e005e710a6df2a8c82a87c15e57d010054e1ce6bb99
Name: , Address: 70:67:15:1c:0d:42, manufacturer data: 4c00100513181fe155
Name: , Address: 79:f0:9f:67:11:37, manufacturer data: 4c001005471c5b8519, txPower: 12
Name: , Address: 49:19:c8:4d:95:dd, manufacturer data: 4c0010065b1ec7ec1a17, txPower: 12
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 5b:e4:75:30:35:39, manufacturer data: 4c001006331ed051ae5e, txPower: 7
Name: , Address: 7a:bd:db:1a:07:ee, manufacturer data: 4c0010050b1ccdcd4f
Name: , Address: 7e:ec:65:ae:5a:ea, manufacturer data: 4c001005111c6a88e5
Name: , Address: 70:67:15:1c:0d:42, manufacturer data: 4c00100513181fe155
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 5a:1d:fd:4c:56:6b, manufacturer data: 4c00071901062000f90f020900f9b5673ddebf07501520ac74dcf04ae2
Name: , Address: 74:2e:30:dc:0e:54, manufacturer data: 4c001005131ce8991e
Name: , Address: 5b:e2:68:03:51:17, manufacturer data: 4c000c0e00d01ec058481c64d635c74aa9a51005071c809708
Name: , Address: 44:f4:e0:6f:f3:9f, manufacturer data: 4c0010051b1cef7945
Name: , Address: 69:9d:a1:35:ad:a6, manufacturer data: 4c0010051b1c568824
Name: , Address: 67:a2:7c:b4:6d:59, manufacturer data: 4c001005131c953666
Name: , Address: 5c:ac:ae:5a:76:72, manufacturer data: 4c0010050198d84c7b
Name: , Address: 71:2b:87:fc:be:35, manufacturer data: 4c001005031c60b941
Name: , Address: 6d:03:10:cb:db:95, manufacturer data: 4c00100513182df7fa
Name: , Address: 4a:23:a3:87:a1:e6, manufacturer data: 4c0010051b1c0a1c25
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 7f:d8:9d:5c:51:04, manufacturer data: 4c0010051a18855589, txPower: 12
Name: , Address: 2c:41:a1:52:f2:f6, manufacturer data: 010b020032645618d6, serviceUUID: 0000febe-0000-1000-8000-00805f9b34fb
Name: , Address: 44:f4:e0:6f:f3:9f, manufacturer data: 4c0010051b1cef7945
Name: , Address: 5c:ac:ae:5a:76:72, manufacturer data: 4c0010050198d84c7b
Name: , Address: 5b:e2:68:03:51:17, manufacturer data: 4c000c0e00d01ec058481c64d635c74aa9a51005071c809708
Name: , Address: 4b:60:c9:9d:2a:fe, manufacturer data: 4c0010051a184cbb41
Name: , Address: 5a:1d:fd:4c:56:6b, manufacturer data: 4c00071901062000f90f020900f9b5673ddebf07501520ac74dcf04ae2
Name: , Address: 4f:f8:45:8a:14:6f, manufacturer data: 4c000719010f202b558f02000542ed0fbd044ac071225292a13e677eef
Name: , Address: 98:04:ed:29:84:4c, manufacturer data: 4c00021574278bdab64445208f0c720eaf05993500006221c5
Name: , Address: 64:17:ae:9a:ed:be, manufacturer data: 4c00100501180cab66, txPower: 24
Name: , Address: 56:3b:76:85:75:c3, manufacturer data: 4c0010063e1eb6d323b0, txPower: 8
Name: , Address: 7d:de:38:4f:16:57, manufacturer data: 4c001005071c3b53a1
Name: , Address: 6f:34:2e:0f:7d:a1, manufacturer data: 4c0010051a18e3df33
Name: , Address: 4d:a5:50:c4:07:dd, manufacturer data: 4c0010053318797de4, txPower: 7
Name: , Address: 4d:a5:50:c4:07:dd, manufacturer data: 4c0010053318797de4, txPower: 7
Name: , Address: 69:29:c5:2b:53:8f, manufacturer data: 4c000c0e00e26affadf8cf7e845d279c8a5810051b1c822b61
Name: , Address: 4d:a5:50:c4:07:dd, manufacturer data: 4c0010053318797de4, txPower: 7
Name: , Address: 23:c1:96:7d:32:dd, manufacturer data: 4c000a0100
Name: , Address: 70:81:d1:19:88:51, manufacturer data: 4c0010050718c81b3f
Name: , Address: 23:c1:96:7d:32:dd, manufacturer data: 4c000a0100
Name: , Address: 7f:b5:ad:9a:54:29, manufacturer data: 4c0010051318bbfdbe, txPower: 12
Name: , Address: 40:9c:10:4e:3d:89, manufacturer data: 4c0010063d1e5b54b871, txPower: 7
Name: , Address: 47:1a:47:7d:95:5c, manufacturer data: 4c0010050198ff70e8, txPower: 24
Name: , Address: 66:91:49:e5:52:45, manufacturer data: 4c001006471e33d9d60e, txPower: 12
Name: , Address: 5c:fe:80:a9:9d:a9, manufacturer data: 4c0010050118e61c89, txPower: 12
Name: , Address: 57:11:42:7e:5e:cf, manufacturer data: 4c0010050b1caba8b7
Name: , Address: f8:04:2e:bc:f7:01, manufacturer data: 75004204018020f8042ebcf701fa042ebcf70001000000000000
Name: , Address: 5d:47:d2:da:66:6b, manufacturer data: 4c0010051318f4f705
Name: , Address: 5d:47:d2:da:66:6b, manufacturer data: 4c0010051318f4f705
Name: , Address: 6b:f9:87:10:ed:1d, manufacturer data: 4c001005131c453cb3
Name: , Address: 65:86:a6:b3:d8:2e, manufacturer data: 4c001005571cf61de3, txPower: 12
Name: , Address: 50:1e:41:73:be:8f, manufacturer data: 4c001005031c8af6b3
Name: , Address: 56:fc:6c:b2:cf:fa, manufacturer data: 4c0010061a1ecd7697c3, txPower: 12
Name: , Address: 69:7c:82:f2:9a:e3, manufacturer data: 4c001005111c7fca8b
Name: , Address: 71:9e:21:3e:44:92, manufacturer data: 4c001005011041e8d4
Name: , Address: 51:95:02:37:4f:76, manufacturer data: 4c0010051a18718d0c
Name: , Address: 60:c5:64:a4:0a:6f, manufacturer data: 4c001005131c7a8ab9
Name: , Address: 69:3d:2c:41:47:d4, manufacturer data: 4c0010050b188a945d, txPower: 8
Name: , Address: 4e:07:e4:f0:c4:8b, manufacturer data: 4c001005131cac49fa, txPower: 12
Name: , Address: 58:d7:64:39:01:a7, manufacturer data: 4c0010061a1e51a590b6, txPower: 12
Name: , Address: 62:75:97:c2:e4:9d, manufacturer data: 4c001005511c9cfb14, txPower: 12
Name: , Address: 7c:ed:a2:d6:46:59, manufacturer data: 4c0010051a183ff858
Name: , Address: 65:17:25:7b:60:b1, manufacturer data: 4c0010051b1c9267c4
Name: , Address: 7c:13:97:f9:e6:54, manufacturer data: 4c0010051a1c329fb8, txPower: 8
Name: , Address: 70:12:08:85:13:00, manufacturer data: 4c001005031ca57f36
Name: , Address: 61:17:4a:dc:b3:53, manufacturer data: 4c0010065a1eeda2ace2, txPower: 12
Name: , Address: 67:bc:1e:1b:cb:48, manufacturer data: 4c000c0e000c173d05bee163110753294b2810051b1c32911a
Name: , Address: 70:0c:65:ac:ed:c1, manufacturer data: 4c001006031ed5a59ebb, txPower: 12
Name: , Address: 57:6b:7a:d0:2e:bc, manufacturer data: 4c001005031c0e0e49, txPower: 12
Name: , Address: 6d:a5:a8:42:62:35, manufacturer data: 4c00100501186db78a
Name: , Address: 7b:e5:af:65:9f:c4, manufacturer data: 4c0010050a18864968
Name: , Address: 33:d0:40:95:f8:82, manufacturer data: 0600010920029f923ef6076f35d64ad317ce2d3461eb45f40b76850aaf
Name: , Address: 6e:11:16:02:f2:e8, manufacturer data: 4c0010050318699f2d
Name: , Address: 45:09:35:82:48:e3, manufacturer data: 4c000c0e00e3bb0cbf47c0417f90df6f1dbc10050e1c1a0965
Name: , Address: 7a:eb:fc:5c:0e:95, manufacturer data: 4c001005571ced7ed7, txPower: 12
Name: , Address: 6c:4a:d5:0a:fd:49, manufacturer data: 4c0010050318559754
Name: , Address: c0:d3:91:e9:03:26, manufacturer data: 4c000215367519f45b8af7ebc8fb792d2e08d82d00000005c5
Name: , Address: 67:1b:06:e5:90:26, manufacturer data: 4c001006131eead4ff18, txPower: 12
Name: , Address: 65:55:fb:58:a6:75, manufacturer data: 4c000c0e005cb84373d395dea824d028f2bf1005171c270164
Name: , Address: 5c:0b:0c:ae:30:79, manufacturer data: 4c001005011823abe0, txPower: 24
Name: , Address: 40:ab:df:c5:a2:ad, manufacturer data: 4c000c0e00d5f426d03539fc6e1994731e2e10061d1e79233bc6
Name: , Address: 46:3a:ce:bc:47:cd, manufacturer data: 4c00071901022022f68f000000403bd474ff98315cdbd15b9a1bedb61d
Name: , Address: 46:f5:cc:50:a0:9d, manufacturer data: 4c0010063a1e25732703, txPower: 7
Name: , Address: 40:d4:41:62:c3:25, manufacturer data: 4c00100501984d1ee0, txPower: 24
Name: Tile, Address: c9:29:cc:3c:d1:a4, serviceUUID: 0000feed-0000-1000-8000-00805f9b34fb
Name: , Address: 70:c2:d9:3d:32:9f, manufacturer data: 4c001005131c403dea
Name: , Address: 46:f5:cc:50:a0:9d, manufacturer data: 4c0010063a1e25732703, txPower: 7
Name: , Address: b0:f8:f2:79:d8:d2, manufacturer data: 4c00021574278bdab64445208f0c720eaf05993500002e78c5
Name: , Address: 41:dc:7f:4e:9b:ce, manufacturer data: 4c0010051a189fb522
Name: , Address: 74:96:5d:3e:b2:04, manufacturer data: 4c00100501188be6bb
Name: , Address: b0:f8:f2:79:d8:d2, manufacturer data: 4c00021574278bdab64445208f0c720eaf05993500002e78c5
Name: , Address: 74:96:5d:3e:b2:04, manufacturer data: 4c00100501188be6bb
Name: , Address: 50:19:e1:95:41:ca, manufacturer data: 4c00100503182aa1c2, txPower: 8
Name: , Address: 59:ce:01:17:71:31, manufacturer data: 4c001005071c1aa807
Name: , Address: 5e:5c:c5:de:2e:f6, manufacturer data: 4c0010051e1c38bbff, txPower: 12
Name: , Address: 65:cc:36:ff:2d:a1, manufacturer data: 4c001005511c2b998d, txPower: 12
Name: , Address: 74:23:e8:a2:3b:71, serviceUUID: 0000fe9f-0000-1000-8000-00805f9b34fb
Name: , Address: 65:94:e1:03:0b:41, manufacturer data: 4c001005131c7ac6a5
Name: , Address: 72:a8:76:13:9c:2f, manufacturer data: 4c001005031c30d6ea
Name: , Address: 43:fd:aa:e4:a9:c1, manufacturer data: 4c001005031c53fc39
Name: , Address: 4c:8b:47:8b:b9:ed, manufacturer data: 4c00100501989dc42c, txPower: 24
Name: , Address: 62:63:bc:b1:9d:cd, manufacturer data: 4c00100503186a4bc9, txPower: 12
Name: , Address: 65:94:e1:03:0b:41, manufacturer data: 4c001005131c7ac6a5
Name: , Address: 7f:c4:51:79:22:c3, manufacturer data: 4c001005411ccdfccb, txPower: 12
Name: , Address: 7f:c4:51:79:22:c3, manufacturer data: 4c001005411ccdfccb, txPower: 12
Name: , Address: 6e:57:97:bb:eb:28, manufacturer data: 4c001005031cacfe8f
Name: , Address: 66:07:e4:c5:6b:5f, manufacturer data: 4c0010050e1c428774
Name: , Address: 5f:7d:e8:30:ca:54, manufacturer data: 4c0010051e181637d9
Name: , Address: 77:6e:54:80:58:0f, manufacturer data: 4c001005071c2ed363
Name: , Address: 79:36:03:33:3f:1d, manufacturer data: 4c0010050b1cb1ea35
Name: , Address: 0a:d2:a9:ac:6b:42, manufacturer data: 0600010920020cdbdad70a06361346ebe9e3cd03354bbf88de00108d8c
Name: , Address: 8c:61:cf:7b:45:51, manufacturer data: 4c00021574278bdab64445208f0c720eaf05993500003243c5
Name: , Address: 6e:57:97:bb:eb:28, manufacturer data: 4c001005031cacfe8f
Name: , Address: 0a:d2:a9:ac:6b:42, manufacturer data: 0600010920020cdbdad70a06361346ebe9e3cd03354bbf88de00108d8c
Name: , Address: 63:06:9c:69:f2:65, manufacturer data: 4c001005071c4ea09e
Name: , Address: 7b:63:ae:d0:79:15, manufacturer data: 4c0010051118be18ba
Name: , Address: 44:82:dc:38:aa:d0, manufacturer data: 4c001006511eb3a41e24, txPower: 12
Name: , Address: 51:eb:57:9b:19:b9, manufacturer data: 4c001005131c8ccc67
Name: , Address: 7e:08:d1:b0:a2:78, manufacturer data: 4c0010051d1c8a3c0f
Name: , Address: 68:b7:5a:74:ef:d4, manufacturer data: 4c0010061e1e32e832ba, txPower: 12
Name: , Address: 6c:26:2f:52:19:5d, manufacturer data: 4c00071901062000f88f010800708308a8becb709b6f387af13c042be4
Name: , Address: 5e:5c:15:d5:eb:74, manufacturer data: 4c001006131a9fba693c, txPower: 12
Name: , Address: 68:7f:75:72:41:68, manufacturer data: 4c0010050a1cd7cf6d
Name: , Address: 44:9c:c8:9a:6b:9b, manufacturer data: 4c0010050718ee49f2, txPower: 12
Name: , Address: 72:38:d0:a4:50:19, manufacturer data: 4c000c0e001f3466bec367fca1422cf91f061005171cf86b2b
Name: , Address: 05:40:86:9a:eb:f9, manufacturer data: 060001092002f9bb25b05e55bcfddbbbc860be0f66c2984dd7600753e9
Name: , Address: 5c:f9:d0:c8:da:07, manufacturer data: 4c001005131c54f3c6
Name: , Address: 49:cf:0a:f2:b1:34, manufacturer data: 4c0010051e1ce48aae
Name: , Address: 41:8f:d8:b8:58:67, manufacturer data: 4c001005071c079c0d
Name: , Address: 4b:8c:93:f0:46:9a, manufacturer data: 4c000719010f202b998f01000666e104db41207fac04da9e7108cb587c
